"","ID","Z","Ratings","By","Fine","Coarse"
"1",1,"Coarse",4,"Rater 1",0,1
"2",2,"Fine",8,"Rater 1",1,0
"3",3,"Coarse",6,"Rater 1",0,1
"4",4,"Fine",8,"Rater 1",1,0
"5",5,"Coarse",3,"Rater 1",0,1
"6",6,"Fine",10,"Rater 1",1,0
"7",7,"Coarse",3,"Rater 1",0,1
"8",8,"Fine",9,"Rater 1",1,0
"9",9,"Coarse",2,"Rater 1",0,1
"10",10,"Fine",6,"Rater 1",1,0
"11",11,"Coarse",1,"Rater 1",0,1
"12",12,"Fine",6,"Rater 1",1,0
"13",13,"Coarse",1,"Rater 1",0,1
"14",14,"Fine",7,"Rater 1",1,0
"15",15,"Coarse",1,"Rater 1",0,1
"16",16,"Fine",10,"Rater 1",1,0
"17",17,"Coarse",1,"Rater 1",0,1
"18",18,"Fine",8,"Rater 1",1,0
"19",19,"Coarse",NA,"Rater 1",0,1
"20",20,"Fine",8,"Rater 1",1,0
"21",21,"Coarse",3,"Rater 1",0,1
"22",22,"Fine",8,"Rater 1",1,0
"23",23,"Coarse",1,"Rater 1",0,1
"24",24,"Fine",5,"Rater 1",1,0
"25",25,"Coarse",1,"Rater 1",0,1
"26",26,"Fine",5,"Rater 1",1,0
"27",27,"Coarse",3,"Rater 1",0,1
"28",28,"Fine",10,"Rater 1",1,0
"29",29,"Coarse",2,"Rater 1",0,1
"30",30,"Fine",6,"Rater 1",1,0
"31",31,"Coarse",2,"Rater 1",0,1
"32",32,"Fine",6,"Rater 1",1,0
"33",33,"Coarse",2,"Rater 1",0,1
"34",34,"Fine",9,"Rater 1",1,0
"35",35,"Coarse",1,"Rater 1",0,1
"36",36,"Fine",4,"Rater 1",1,0
"37",1,"Coarse",3,"Rater 2",0,1
"38",2,"Fine",8,"Rater 2",1,0
"39",3,"Coarse",3,"Rater 2",0,1
"40",4,"Fine",9,"Rater 2",1,0
"41",5,"Coarse",1,"Rater 2",0,1
"42",6,"Fine",10,"Rater 2",1,0
"43",7,"Coarse",2,"Rater 2",0,1
"44",8,"Fine",9,"Rater 2",1,0
"45",9,"Coarse",2,"Rater 2",0,1
"46",10,"Fine",8,"Rater 2",1,0
"47",11,"Coarse",NA,"Rater 2",0,1
"48",12,"Fine",10,"Rater 2",1,0
"49",13,"Coarse",2,"Rater 2",0,1
"50",14,"Fine",9,"Rater 2",1,0
"51",15,"Coarse",4,"Rater 2",0,1
"52",16,"Fine",7,"Rater 2",1,0
"53",17,"Coarse",NA,"Rater 2",0,1
"54",18,"Fine",10,"Rater 2",1,0
"55",19,"Coarse",NA,"Rater 2",0,1
"56",20,"Fine",8,"Rater 2",1,0
"57",21,"Coarse",4,"Rater 2",0,1
"58",22,"Fine",NA,"Rater 2",1,0
"59",23,"Coarse",1,"Rater 2",0,1
"60",24,"Fine",7,"Rater 2",1,0
"61",25,"Coarse",2,"Rater 2",0,1
"62",26,"Fine",NA,"Rater 2",1,0
"63",27,"Coarse",5,"Rater 2",0,1
"64",28,"Fine",9,"Rater 2",1,0
"65",29,"Coarse",4,"Rater 2",0,1
"66",30,"Fine",8,"Rater 2",1,0
"67",31,"Coarse",1,"Rater 2",0,1
"68",32,"Fine",5,"Rater 2",1,0
"69",33,"Coarse",1,"Rater 2",0,1
"70",34,"Fine",6,"Rater 2",1,0
"71",35,"Coarse",1,"Rater 2",0,1
"72",36,"Fine",NA,"Rater 2",1,0
"73",1,"Coarse",1,"Rater 3",0,1
"74",2,"Fine",2,"Rater 3",1,0
"75",3,"Coarse",1,"Rater 3",0,1
"76",4,"Fine",4,"Rater 3",1,0
"77",5,"Coarse",2,"Rater 3",0,1
"78",6,"Fine",6,"Rater 3",1,0
"79",7,"Coarse",3,"Rater 3",0,1
"80",8,"Fine",6,"Rater 3",1,0
"81",9,"Coarse",1,"Rater 3",0,1
"82",10,"Fine",4,"Rater 3",1,0
"83",11,"Coarse",1,"Rater 3",0,1
"84",12,"Fine",8,"Rater 3",1,0
"85",13,"Coarse",1,"Rater 3",0,1
"86",14,"Fine",8,"Rater 3",1,0
"87",15,"Coarse",1,"Rater 3",0,1
"88",16,"Fine",5,"Rater 3",1,0
"89",17,"Coarse",2,"Rater 3",0,1
"90",18,"Fine",6,"Rater 3",1,0
"91",19,"Coarse",1,"Rater 3",0,1
"92",20,"Fine",7,"Rater 3",1,0
"93",21,"Coarse",8,"Rater 3",0,1
"94",22,"Fine",4,"Rater 3",1,0
"95",23,"Coarse",1,"Rater 3",0,1
"96",24,"Fine",5,"Rater 3",1,0
"97",25,"Coarse",1,"Rater 3",0,1
"98",26,"Fine",5,"Rater 3",1,0
"99",27,"Coarse",2,"Rater 3",0,1
"100",28,"Fine",9,"Rater 3",1,0
"101",29,"Coarse",6,"Rater 3",0,1
"102",30,"Fine",5,"Rater 3",1,0
"103",31,"Coarse",4,"Rater 3",0,1
"104",32,"Fine",5,"Rater 3",1,0
"105",33,"Coarse",2,"Rater 3",0,1
"106",34,"Fine",8,"Rater 3",1,0
"107",35,"Coarse",4,"Rater 3",0,1
"108",36,"Fine",8,"Rater 3",1,0
